,股票代码,交易日期,换手率,量比,市盈率,市净率
0,000652.SZ,20200331,9.8498,0.7,44.2517,3.0392
1,000652.SZ,20200330,14.6552,1.06,47.0651,3.2325
2,000652.SZ,20200327,12.9694,0.97,44.4424,3.0523
3,000652.SZ,20200326,14.521,1.1,43.2026,2.9672
4,000652.SZ,20200325,14.7525,1.11,44.9193,3.0851
5,000652.SZ,20200324,13.5222,0.95,41.1522,2.8264
6,000652.SZ,20200323,13.5075,0.86,43.0596,2.9574
7,000652.SZ,20200320,10.3331,0.63,47.8281,3.2849
8,000652.SZ,20200319,14.0729,0.82,47.4466,3.2587
9,000652.SZ,20200318,15.1666,0.83,52.5966,3.6124
10,000652.SZ,20200317,18.0224,0.88,54.4563,3.7401
11,000652.SZ,20200316,20.6279,1.06,57.8896,3.9759
12,000652.SZ,20200313,14.5162,0.67,52.6443,3.6156
13,000652.SZ,20200312,17.7003,0.78,58.5095,4.0185
14,000652.SZ,20200311,20.4101,0.86,61.5614,4.2281
15,000652.SZ,20200310,29.6464,1.27,62.2766,4.2772
16,000652.SZ,20200309,15.1581,0.57,66.2345,4.549
17,000652.SZ,20200306,25.0548,0.96,60.2262,4.1364
18,000652.SZ,20200305,23.6967,0.87,54.7424,3.7597
19,000652.SZ,20200304,25.472,0.9,56.4591,3.8776
20,000652.SZ,20200303,27.6487,1.12,54.1702,3.7204
21,000652.SZ,20200302,30.7694,1.53,54.0271,3.7106
22,000652.SZ,20200228,23.2569,1.25,49.1156,3.3733
23,000652.SZ,20200227,29.5892,1.91,44.6332,3.0654
24,000652.SZ,20200226,30.5634,2.47,45.6346,3.1342
25,000652.SZ,20200225,9.056,0.64,41.486,2.8493
26,000652.SZ,20200224,8.2582,0.54,37.7189,2.5906
27,000652.SZ,20200221,15.667,0.98,34.2855,2.3548
28,000652.SZ,20200220,13.9098,0.79,32.6166,2.2401
29,000652.SZ,20200219,14.8892,0.74,34.524,2.3711
30,000652.SZ,20200218,18.5347,0.78,36.6698,2.5185
31,000652.SZ,20200217,13.2314,0.62,35.573,2.4432
32,000652.SZ,20200214,19.1482,1.1,35.9068,2.4661
33,000652.SZ,20200213,22.6067,1.74,39.1017,2.6855
34,000652.SZ,20200212,26.7796,3.49,41.9628,2.882
35,000652.SZ,20200211,36.6636,51.41,43.1073,2.9606
36,000652.SZ,20200210,1.0045,1.62,43.0119,2.9541
37,000652.SZ,20200207,0.3056,0.1,39.1017,2.6855
38,000652.SZ,20200206,0.1689,0.03,35.5253,2.4399
39,000652.SZ,20200205,0.2266,0.04,32.2828,2.2172
40,000652.SZ,20200204,1.8602,0.28,29.3263,2.0141
41,000652.SZ,20200203,0.5338,0.08,26.6559,1.8307
42,000652.SZ,20200123,11.8618,2.73,24.224,1.6637
43,000652.SZ,20200122,14.6375,9.69,22.0305,1.5131
44,000652.SZ,20200121,1.8856,1.51,20.9814,1.441
45,000652.SZ,20200120,4.3204,8.79,19.074,1.31
46,000652.SZ,20200117,0.4018,0.78,17.3573,1.1921
47,000652.SZ,20200116,0.4963,0.91,17.405,1.1954
48,000652.SZ,20200115,0.4519,0.68,17.6435,1.2118
49,000652.SZ,20200114,0.5708,0.7,17.7865,1.2216
50,000652.SZ,20200113,0.5371,0.6,17.8342,1.2249
51,000652.SZ,20200110,0.5344,0.58,17.7865,1.2216
52,000652.SZ,20200109,0.6213,0.59,17.9296,1.2314
53,000652.SZ,20200108,1.0447,0.86,17.7388,1.2183
54,000652.SZ,20200107,1.3556,1.2,18.311,1.2576
55,000652.SZ,20200106,0.9049,0.81,17.8819,1.2281
56,000652.SZ,20200103,0.6878,0.63,17.9296,1.2314
57,000652.SZ,20200102,1.2916,1.42,17.8819,1.2281
