,股票代码,交易日期,换手率,量比,市盈率,市净率
0,002223.SZ,20200331,11.7352,1.13,50.0167,5.9955
1,002223.SZ,20200330,15.4867,1.79,52.5534,6.2996
2,002223.SZ,20200327,12.912,1.86,52.5258,6.2963
3,002223.SZ,20200326,11.7408,2.23,51.8227,6.212
4,002223.SZ,20200325,6.6278,1.46,47.1078,5.6468
5,002223.SZ,20200324,5.0598,1.15,42.8203,5.1329
6,002223.SZ,20200323,6.9195,1.64,42.6824,5.1163
7,002223.SZ,20200320,4.2943,1.01,40.5179,4.8569
8,002223.SZ,20200319,3.4403,0.78,37.8434,4.5363
9,002223.SZ,20200318,3.0285,0.65,38.643,4.6321
10,002223.SZ,20200317,4.3071,0.87,39.9665,4.7908
11,002223.SZ,20200316,6.0423,1.17,40.7385,4.8833
12,002223.SZ,20200313,4.5444,0.9,39.4013,4.723
13,002223.SZ,20200312,4.1097,0.8,41.0142,4.9164
14,002223.SZ,20200311,4.2897,0.79,42.903,5.1428
15,002223.SZ,20200310,5.8464,1.05,43.2476,5.1841
16,002223.SZ,20200309,7.0272,1.26,45.5637,5.4617
17,002223.SZ,20200306,3.8919,0.61,44.4333,5.3262
18,002223.SZ,20200305,4.6404,0.72,44.1851,5.2965
19,002223.SZ,20200304,5.8148,0.88,44.1989,5.2981
20,002223.SZ,20200303,6.4948,0.92,47.1492,5.6518
21,002223.SZ,20200302,7.0487,0.99,47.8385,5.7344
22,002223.SZ,20200228,7.7166,1.15,47.8798,5.7451
23,002223.SZ,20200227,5.3661,0.85,45.5775,5.4688
24,002223.SZ,20200226,6.4733,1.11,44.4608,5.3348
25,002223.SZ,20200225,8.8351,1.72,45.5775,5.4688
26,002223.SZ,20200224,7.0527,1.57,45.0398,5.4043
27,002223.SZ,20200221,5.9222,1.45,40.9453,4.913
28,002223.SZ,20200220,3.2652,0.76,38.7119,4.645
29,002223.SZ,20200219,4.0071,0.9,38.2983,4.5954
30,002223.SZ,20200218,5.4381,1.13,40.063,4.8071
31,002223.SZ,20200217,3.8685,0.67,38.2983,4.5954
32,002223.SZ,20200214,3.8617,0.55,37.485,4.4978
33,002223.SZ,20200213,4.2236,0.52,38.4638,4.6152
34,002223.SZ,20200212,4.882,0.53,39.0014,4.6798
35,002223.SZ,20200211,7.1536,0.71,39.5529,4.7459
36,002223.SZ,20200210,8.8504,0.87,38.8222,4.6582
37,002223.SZ,20200207,9.8889,1.06,40.2836,4.8336
38,002223.SZ,20200206,9.8401,1.23,42.7513,5.1297
39,002223.SZ,20200205,10.7141,1.59,40.0906,4.8104
40,002223.SZ,20200204,11.4084,2.38,39.5115,4.741
41,002223.SZ,20200203,9.0904,2.85,37.0162,4.4415
42,002223.SZ,20200123,5.7941,2.71,33.6524,4.0379
43,002223.SZ,20200122,2.9724,1.73,30.6056,3.6723
44,002223.SZ,20200121,4.415,4.24,31.1708,3.7402
45,002223.SZ,20200120,1.7096,1.86,29.5165,3.5417
46,002223.SZ,20200117,1.04,1.19,28.6066,3.4325
47,002223.SZ,20200116,0.5603,0.59,28.3171,3.3977
48,002223.SZ,20200115,0.8675,0.89,28.3446,3.401
49,002223.SZ,20200114,1.0276,0.99,28.3584,3.4027
50,002223.SZ,20200113,1.0979,1.03,28.6204,3.4341
51,002223.SZ,20200110,0.8115,0.75,28.5928,3.4308
52,002223.SZ,20200109,0.966,0.87,28.8409,3.4606
53,002223.SZ,20200108,0.9882,0.79,28.0689,3.368
54,002223.SZ,20200107,1.35,1.05,28.6617,3.4391
55,002223.SZ,20200106,1.1952,0.88,27.9173,3.3498
56,002223.SZ,20200103,0.8957,0.7,28.0276,3.363
57,002223.SZ,20200102,1.146,0.94,28.0138,3.3613
