,股票代码,交易日期,open,high,low,close,pre_close,change,pct_chg,vol,amount
44,002030.SZ,20200121,13.54,13.54,13.41,13.54,12.31,1.23,9.9919,390944.66,529216.902
45,002030.SZ,20200120,12.31,12.31,11.84,12.31,11.19,1.12,10.0089,346839.5,420332.793
46,002030.SZ,20200117,11.24,11.35,11.18,11.19,11.24,-0.05,-0.4448,57349.7,64637.132
47,002030.SZ,20200116,11.46,11.46,11.22,11.24,11.44,-0.2,-1.7483,62880.84,71152.525
48,002030.SZ,20200115,11.32,11.48,11.24,11.44,11.31,0.13,1.1494,83258.29,94694.42
49,002030.SZ,20200114,11.44,11.48,11.29,11.31,11.42,-0.11,-0.9632,77144.23,87609.472
50,002030.SZ,20200113,11.38,11.44,11.22,11.42,11.26,0.16,1.421,80837.91,91798.334
51,002030.SZ,20200110,11.37,11.41,11.2,11.26,11.36,-0.1,-0.8803,56405.77,63638.224
52,002030.SZ,20200109,11.25,11.43,11.24,11.36,11.12,0.24,2.1583,90988.31,103094.012
53,002030.SZ,20200108,11.3,11.31,11.12,11.12,11.33,-0.21,-1.8535,82983.23,92917.427
54,002030.SZ,20200107,11.27,11.42,11.26,11.33,11.32,0.01,0.0883,92799.38,105064.84
55,002030.SZ,20200106,11.16,11.45,11.11,11.32,11.26,0.06,0.5329,119944.41,135901.977
56,002030.SZ,20200103,11.36,11.45,11.2,11.26,11.41,-0.15,-1.3146,110918.58,125471.604
57,002030.SZ,20200102,11.31,11.62,11.22,11.41,11.5,-0.09,-0.7826,211267.66,240634.98
