,股票代码,交易日期,open,high,low,close,pre_close,change,pct_chg,vol,amount
17,000652.SZ,20200306,11.6,12.63,11.59,12.63,11.48,1.15,10.0174,3693387.48,4562426.577
18,000652.SZ,20200305,11.5,12.1,11.02,11.48,11.84,-0.36,-3.0405,3493188.71,4039516.788
19,000652.SZ,20200304,11.58,12.21,11.11,11.84,11.36,0.48,4.2254,3754897.34,4434814.768
20,000652.SZ,20200303,10.49,12.36,10.31,11.36,11.33,0.03,0.2648,4075771.65,4609941.587
21,000652.SZ,20200302,10.99,11.33,10.41,11.33,10.3,1.03,10.0,4535799.35,5002023.053
22,000652.SZ,20200228,9.94,10.3,9.5,10.3,9.36,0.94,10.0427,3428366.42,3446914.023
23,000652.SZ,20200227,9.2,10.45,8.68,9.36,9.57,-0.21,-2.1944,4361818.81,4175407.639
24,000652.SZ,20200226,9.29,9.57,8.76,9.57,8.7,0.87,10.0,4505436.13,4198300.11
25,000652.SZ,20200225,8.7,8.7,8.39,8.7,7.91,0.79,9.9874,1334969.59,1157611.477
26,000652.SZ,20200224,7.78,7.91,7.62,7.91,7.19,0.72,10.0139,1217363.01,954536.164
27,000652.SZ,20200221,7.01,7.37,6.96,7.19,6.84,0.35,5.117,2309509.81,1657499.441
28,000652.SZ,20200220,7.01,7.1,6.8,6.84,7.24,-0.4,-5.5249,2050472.65,1420151.299
29,000652.SZ,20200219,7.5,7.63,7.13,7.24,7.69,-0.45,-5.8518,2194857.18,1618982.03
30,000652.SZ,20200218,7.44,7.98,7.33,7.69,7.46,0.23,3.0831,2732241.88,2099709.239
31,000652.SZ,20200217,7.51,7.67,7.22,7.46,7.53,-0.07,-0.9296,1950470.24,1454930.75
32,000652.SZ,20200214,7.98,8.09,7.38,7.53,8.2,-0.67,-8.1707,2822680.43,2153638.943
33,000652.SZ,20200213,9.08,9.08,8.08,8.2,8.8,-0.6,-6.8182,3332504.59,2866801.662
34,000652.SZ,20200212,8.14,9.17,8.14,8.8,9.04,-0.24,-2.6549,3947647.52,3339135.72
35,000652.SZ,20200211,9.5,9.92,8.34,9.04,9.02,0.02,0.2217,5404669.31,5034247.937
36,000652.SZ,20200210,9.02,9.02,9.02,9.02,8.2,0.82,10.0,148074.41,133563.117
37,000652.SZ,20200207,8.2,8.2,8.2,8.2,7.45,0.75,10.0671,45051.06,36941.869
38,000652.SZ,20200206,7.45,7.45,7.45,7.45,6.77,0.68,10.0443,24896.1,18547.594
39,000652.SZ,20200205,6.77,6.77,6.77,6.77,6.15,0.62,10.0813,33397.23,22609.924
40,000652.SZ,20200204,6.15,6.15,6.15,6.15,5.59,0.56,10.0179,274216.85,168643.362
41,000652.SZ,20200203,5.59,5.59,5.59,5.59,5.08,0.51,10.0394,78687.99,43986.586
42,000652.SZ,20200123,4.79,5.08,4.78,5.08,4.62,0.46,9.9567,1748572.81,878800.297
43,000652.SZ,20200122,4.84,4.84,4.5,4.62,4.4,0.22,5.0,2157744.96,1020522.255
44,000652.SZ,20200121,4.4,4.4,4.4,4.4,4.0,0.4,10.0,277954.67,122300.054
45,000652.SZ,20200120,4.0,4.0,3.83,4.0,3.64,0.36,9.8901,636876.17,251386.134
46,000652.SZ,20200117,3.66,3.71,3.63,3.64,3.65,-0.01,-0.274,59230.29,21722.423
47,000652.SZ,20200116,3.75,3.75,3.65,3.65,3.7,-0.05,-1.3514,73159.81,27043.706
48,000652.SZ,20200115,3.73,3.74,3.68,3.7,3.73,-0.03,-0.8043,66620.56,24698.031
49,000652.SZ,20200114,3.73,3.77,3.72,3.73,3.74,-0.01,-0.2674,84146.9,31510.65
50,000652.SZ,20200113,3.7,3.74,3.69,3.74,3.73,0.01,0.2681,79181.53,29377.4
51,000652.SZ,20200110,3.78,3.79,3.71,3.73,3.76,-0.03,-0.7979,78770.0,29475.24
52,000652.SZ,20200109,3.78,3.79,3.73,3.76,3.72,0.04,1.0753,91586.16,34420.89
53,000652.SZ,20200108,3.82,3.83,3.7,3.72,3.84,-0.12,-3.125,154005.91,57944.896
54,000652.SZ,20200107,3.79,3.86,3.76,3.84,3.75,0.09,2.4,199826.03,76347.323
55,000652.SZ,20200106,3.73,3.79,3.73,3.75,3.76,-0.01,-0.266,133398.2,50191.05
56,000652.SZ,20200103,3.74,3.78,3.74,3.76,3.75,0.01,0.2667,101387.0,38115.741
57,000652.SZ,20200102,3.76,3.8,3.73,3.75,3.76,-0.01,-0.266,190404.2,71678.828
